State,Year,emission_value_mlns,energy_value
NV,2010,0.8395245126272594,27939
NV,2011,0.9804220321735319,28210
NV,2012,1.1360023648546027,30425
NV,2013,0.8657360358418942,34566
NV,2014,0.8235744971224641,35606
NV,2015,0.7289222339355469,40761
NV,2016,0.8288515599782004,46291
NV,2017,0.9997515546691239,50374
NV,2018,1.3775214296192178,54345
NV,2019,0.6929316059870751,58266
NV,2020,0.701303905131596,57528
NV,2021,0.6778809295684128,63647
NV,2022,0.6575355632717844,72735
NV,2023,0.5863306662197277,74879
NY,2002,5.6130306141064334,194414
NY,2003,5.421394487352599,196092
NY,2004,4.969915875655117,224086
NY,2005,4.725351460547856,203327
NY,2006,4.219071604720283,218253
NY,2007,3.8506849732968824,222090
NY,2008,3.550793494626706,247214
NY,2009,3.404387255892921,218597
NY,2010,3.0132001923112717,226403
NY,2011,2.8264961593369144,240518
NY,2012,2.713250300168594,226194
NY,2013,2.658380220693613,242439
NY,2014,2.5384631174232988,252146
NY,2015,2.4529812546813994,266963
NY,2016,2.1994821848862114,269723
NY,2017,2.120583714658181,283969
NY,2018,2.087567354171409,289292
NY,2019,2.062829355715331,291996
NY,2020,2.2350920729173516,260798
NY,2021,2.2135900166029714,263978
NY,2022,2.2280357774549877,269883
NY,2023,2.2131690960324266,272968
OH,2002,7.300223939084339,51814
OH,2003,7.021942650310727,60199
OH,2004,6.434180292174933,61955
OH,2005,6.221613182190441,70162
OH,2006,5.742704158300406,72797
OH,2007,5.379800270785443,81156
OH,2008,4.856110137829957,113362
OH,2009,4.246778652199573,110873
OH,2010,4.393145452364581,126009
OH,2011,4.162033721363225,133264
OH,2012,3.7459751829609673,133625
OH,2013,3.460591600936456,148390
OH,2014,3.3823518210194097,151835
OH,2015,3.095993334355462,146601
OH,2016,2.758892584936623,147895
OH,2017,2.627062111162789,144526
OH,2018,2.5591924844132854,145713
OH,2019,2.5257205717278874,145508
OH,2020,2.4566824104040568,139735
OH,2021,2.4986440313515623,146858
OH,2022,2.447501740166027,155281
OH,2023,2.3700421648643553,153084
OK,2002,3.6950063678017724,27527
OK,2003,4.263968936688347,29558
OK,2004,4.262787714491608,38703
OK,2005,4.61060104324153,42310
OK,2006,4.040993973865402,39555
OK,2007,3.545913877948479,50665
OK,2008,3.625828413442543,48098
OK,2009,4.15570054204017,52786
OK,2010,3.2728796497398336,66292
OK,2011,4.312856809833729,69595
OK,2012,3.323781281572181,78407
OK,2013,2.887358663495209,96028
